Source_File,ID,Task description,Task reference,CAT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,LINING PANELS - REMOVAL/INSTALLATION,AMM 25-13-41-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,THE UPPER SIDEWALL PANEL(S) - REMOVAL/INSTALLATION,AMM 25-23-43-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,LOWER SIDEWALL-PANELS (DADO PANELS) - REMOVAL/INSTALLATION,AMM 25-23-44-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACEMENT OF THE DECOMPRESSION PANELS,AMM 25-68-41-960-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PANEL-COVE LIGHT - REMOVAL/INSTALLATION,AMM 25-23-48-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CURTAINS - REMOVAL/INSTALLATION,AMM 25-26-41-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"COVERING - FLOOR, TEXTILE  REMOVAL/INSTALLATION",AMM 25-28-41-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"REPLACEMENT OF SEAT CUSHION, COVER",Standard Practice,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ADJUSTMENT OF THE OVERHEAD STOWAGE-COMPARTMENT DOORS,AMM 25-24-00-710-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,1,REMOVAL/ INSTALLATION OF THE STATIC DISCHARGER,AMM 23-61-41-000/400-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,1,REMOVAL/ INSTALLATION OF THE BATTERIES,AMM 24-38-51-000-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,1,REMOVAL/INSTALLATION OF THE INTEGRATED PRERECORDED ANNOUNCEMENT AND BOARDING MUSIC (PRAM) FLASHCARD,AMM 23-32-36-000/400-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,1,ALTERNATE: HOT PLUG REPLACEMENT OF THE INTEGRATED PRERECORDED ANNOUNCEMENT AND BOARDING MUSIC (PRAM),AMM 23-32-36-960-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPENING/CLOSING OF THE PASSENGER/CREW DOOR,AMM 52-10-00-010/410-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SPECIAL PRECAUTIONS BEFORE WORK ON THE PASSENGER/CREW DOOR,AMM 52-10-00-860-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SPECIAL PRECAUTIONS AFTER WORK ON THE PASSENGER/CREW DOOR,AMM 52-10-00-860-002,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE FWD OR AFT CARGO-COMPARTMENT DOOR WITH THE YELLOW ELECTRIC PUMP,AMM 52-30-00-860-001/002,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE FWD OR AFT CARGO-COMPARTMENT DOOR WITH THE HAND PUMP,AMM 52-30-00-860-003/004,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ENERGIZE THE GROUND SERVICE NETWORK FROM THE EXTERNAL POWER,AMM 24-42-00-861-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DE-ENERGIZE THE GROUND SERVICE NETWORK SUPPLIED FROM THE EXTERNAL POWER,AMM 24-42-00-862-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK RESERVOIR AIR PRESSURE ON RESERVOIR GAUGE,AMM 29-10-00-200-002,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK FLUID LEVEL ON RESERVOIR INDICATORS,AMM 29-10-00-200-001,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FILL THE HYDRAULIC FLUID RESERVOIR WITH A HAND PUMP,AMM 12-12-29-611-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK NITROGEN CHARGE PRESSURE ON HYDRAULIC POWER ACCUMULATORS,AMM 29-10-00-200-008,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK OF THE OIL LEVEL AND OIL-FILTER DIFFERENTIAL-PRESSURE INDICATOR (IDG),AMM 24-21-00-210-046,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,IDG SERVICING - FILLING OF THE IDG WITH OIL OR ADDITION OF OIL AFTER A LEVEL CHECK,AMM 12-13-24-612-041-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"CHECK OIL LEVEL AND REPLENISH, CHECK POP OUT INDICATOR OF EMCD (CFM56)",AMM 12-13-79-610-002,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ENGINE OIL SERVICING (PW1100),AMM 12-13-79-612-803,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRESSURIZATION OF THE BLEED SYSTEM WITH THE APU,AMM 36-12-00-860-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRESSURIZATION OF THE BLEED SYSTEM THROUGH THE HP GROUND CONNECTOR,AMM 36-12-00-860-002,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRE-CONDITIONING THROUGH THE LP GROUND CONNECTION,AMM 12-33-21-600-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAIN AND REPLENISH OIL SYSTEM AIR STARTER (CFM56),AMM 12-13-80-610-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"NITROGEN FILLING OF THE YELLOW HYDRAULIC SYSTEM, BRAKE PRESSURE ACCUMULATOR",AMM 12-14-32-614-002,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAINING OF THE POTABLE WATER SYSTEM (WITH ELECTRICAL POWER),AMM 12-24-38-680-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAINING OF THE POTABLE WATER SYSTEM (WITHOUT ELECTRICAL POWER),AMM 12-24-38-680-002,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SERVICING OF THE TOILET SYSTEM,AMM 12-16-38-613-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FILL THE POTABLE WATER TANK SYSTEM (AIRCRAFT ELECTRICAL POWER AVAILABLE),AMM 12-15-38-613-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FILL THE POTABLE WATER TANK SYSTEM (AIRCRAFT ELECTRICAL POWER NOT AVAILABLE),AMM 12-15-38-613-002,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FILL THE HYDRAULIC POWER ACCUMULATORS WITH NITROGEN,AMM 12-14-29-614-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,AIRCRAFT LUBRICATION,AMM 12-22-27-03 AMM 12-22-29-03 AMM 12-22-32-03 AMM 12-22-52-03 AMM 12-22-53-03 AMM 12-22-55-03 AMM 12-22-56-03,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,1,TOWING WITH THE NOSE GEAR FROM THE FRONT,AMM 09-10-00-584-002-A,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,TOWING BY THE NOSE LANDING GEAR FROM THE FRONT WITH A TOWBAR (ON BATTERIES ONLY),AMM 09-10-00-584-008-A,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK IDG OIL LEVEL,AMM 24-21-00-210-046,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAIN WATER CONTENT FROM FUEL TANKS,AMM 12-32-28-281-001-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL CHECK OF EMERGENCY GENERATOR SYSTEM,AMM 24-24-00-710-001,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,VISUAL CHECK OF CARGO COMPARTMENT,AMM 25-50-00-200-002,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CLEANING OF CARGO COMPARTMENT,AMM 12-21-12-100-007,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DETAILED INSPECTION OF CARGO NETS,AMM 25-50-00-200-025,DI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CLEANING OF DISPLAY UNITS,AMM 31-63-22-100-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK EMERGENCY CYLINDER/ ACCUMULATOR PRESSURE - PAX DOOR,AMM 52-10-00-210-004,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK EMERGENCY CYLINDER/ ACCUMULATOR PRESSURE - EMER EXIT,AMM 52-22-00-200-001,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,VISUAL CHECK OF PASSENGER SEATS,AMM 25-21-00-210-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CLEAN VACCUM WASTE LINES WITH CHEMICAL CLEANING AGENT AND CRUSHED ICE,AMM 38-31-00-100-018,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACE FDIMU/ PCMCIA,AMM 31-36-00-000/400-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK APU OIL LEVEL AND REPLENISH,AMM 12-13-49-612-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,RECORD APU HOURS & CYCLES,AMM 49-70-00-00,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,VISUAL INSPECTION OF LANDING GEAR BAYS,AMM 05-21-20-200-002 AMM 05-21-40-200-003,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRINTOUT OF THE ENGINE/APU HOURS AND CYCLES STORED IN THE FLIGHT DATA INTERFACE AND MANAGEMENT UNIT (FDIMU),AMM 31-36-00-740-015-A,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLENISH OF THE OIL FROM THE IDG,AMM 12-13-24-680-040-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SAFETY PRECAUTIONS FOR THE OPERATION OF THE APU,AMM 49-00-00-02,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SELF-TEST OF THE ECB,AMM 49-00-00-05,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,APU START BY EXTERNAL POWER,AMM 49-00-00-02,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,APU START BY BATTERIES,AMM 49-00-00-02,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE APU,AMM 49-00-00-05,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,APU SHUTDOWN BY EXTERNAL POWER,AMM 49-00-00-02,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,APU SHUTDOWN BY BATTERIES,AMM 49-00-00-02,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,RAISING NON-AIRWORTHINESS DEFECT OF ATA 11,VJC Procedure,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CLEARING NON-AIRWORTHINESS DEFECT OF ATA 11,VJC Procedure,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,RAISING NON-AIRWORTHINESS DEFECT OF ATA 25,VJC Procedure,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CLEARING NON-AIRWORTHINESS DEFECT OF ATA 25,VJC Procedure,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"PLACARDS AND MARKINGS WHICH DISPLAYED/INSTRUCTED/DESCRIBED AIRCRAFT SYSTEM OPERATION LIMITATION, EMERGENCY/SAFETY INSTRUCTIONS, WARNINGS, CAUTIONS",MEL 11-01-01A,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OTHER PLACARD AND MARKING EXCLUDING PLACARDS INSTALLED TO COVER HOIST POINTS,MEL 11-01-01B,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SURVIVAL KIT,MEL 25-62-05,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FIRST AID KIT,MEL 25-64-01,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SUPPLEMENTARY LIFE RAFT,MEL 25-66-02A,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,EMERGENCY MEDICAL KIT,MEL 25-64-02,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,COCKPIT FLASHLIGHT,MEL 25-65-01,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CABIN FLASHLIGHT,MEL 25-65-02,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FIREPROOF GLOVES,MEL 25-65-06,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,MEGAPHONE,MEL 25-65-07,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ADULT LIFEVEST,MEL 25-66-01A,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INFANT LIFEVEST,MEL 25-66-0,MEL
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SPARE LIFEVEST,MEL 25-66-01,MEL
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FLUID LEAK MEASUREMENT-MAINTENANCE PRACTICES,AMM 05-50-00-790-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,QUICK DISPATCH GUIDE AND CROSS-REFERENCES,AMM 05-50-00-040-002-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,INSPECTION AFTER HARD OR HARD OVERWEIGHT LANDING FOR AIRCRAFT WITH ENHANCED DMU/FDIMU LOAD REPORT 15,AMM 05-51-11-200-004-B,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: INSPECTION AFTER FLAP/SLAT EXTENSION AT MORE THAN THE FLAP/SLAT LIMITING SPEED,AMM 05-51-13-200-001-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: INSPECTION OF THE AIRCRAFT AFTER A BIRD STRIKE,AMM 05-51-14-200-803-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: INSPECTION AFTER LIGHTNING STRIKE,AMM 05-51-18-200-001-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: INSPECTION AFTER LIGHTNING STRIKE FOR QUICK RELEASE OF THE AIRCRAFT FOR A MAXIMUM OF 200 FLIGHT CYCLES,AMM 05-51-18-200-802-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: INSPECTION OF THE ENGINE AFTER A BIRD STRIKE OR SLUSH INGESTION,AMM 05-51-19-200-001-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,AIRFRAME VIBRATION,TSM 05-50-00-810-801-A,T/S
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,LIFTING FOR AIRCRAFT MAINTENANCE OPERATIONS,AMM 07-11-00-581-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,"ALTERNATE: LIFTING OF THE AIRCRAFT AT THE FORWARD JACKING POINT, MLG WHEELS ON THE GROUND",AMM 07-11-00-581-003-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,LOWERING OF THE AIRCRAFT FOR MAINTENANCE OPERATIONS,AMM 07-11-00-586-002-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,"ALTERNATE: LOWERING OF THE AIRCRAFT AT FORWARD JACKING POINT, MLG WHEELS ON THE GROUND",AMM 07-11-00-586-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,WEIGHING AND BALANCING,AMM 08-10-00-200-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: QUICK LEVELING PROCEDURE WITH THE ADIRU,AMM 08-21-00-200-001-A02,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: QUICK LEVELING WITH A SPIRIT LEVEL IN THE FWD CARGO COMPARTMENT,AMM 08-21-00-200-001-A01,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: QUICK LEVELING WITH A SPIRIT LEVEL IN THE PASSENGER COMPARTMENT,AMM 08-21-00-200-001-A03,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,PARKING AND STORAGE PROCEDURE,AMM 10-10-00-550-801-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: PARKING PERIODIC GROUND CHECKS,AMM 10-11-00-555-804-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: STORAGE PERIODIC GROUND CHECKS,AMM 10-12-00-553-802-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: RETURN TO OPERATION AFTER A STORAGE/PARKING PERIOD,AMM 10-30-00-554-005/804-A,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE: MOORING,AMM 10-20-00-02 CONF 00,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,INSTALLATION OF THE METAL IDENTIFICATION PLATES,AMM 11-00-00-400-011-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE INSTALLATION OF THE LABELS ON LANDING GEAR,AMM 11-00-00-400-012-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,APPLY MARKING PAINT WITH STENCILS,AMM 11-00-00-370-003-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FUNCTIONAL CHECK OF NLG SHOCK ABSORBER CHARGE PRESSURE AND FLUID LEVEL,AMM 12-12-32-610-002-A/A01,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,NLG SHOCK ABSORBER OIL REPLENISHMENT AND NITROGEN FILLING (AIRCRAFT ON WHEELS),AMM 12-12-32-611-001-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE NLG SHOCK ABSORBER OIL REPLENISHMENT AND NITROGEN FILLING (AIRCRAFT ON JACKS),AMM 12-12-32-611-005-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FUNCTIONAL CHECK OF MLG SHOCK ABSORBER FLUID LEVEL,AMM 12-12-32-611-004-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,HYDRAULIC REPLENISHMENT OF THE MLG TWO-STAGE SHOCK ABSORBER,AMM 12-12-32-611-008-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,FUNCTIONAL CHECK OF MLG SHOCK ABSORBER CHARGE PRESSURE,AMM 12-14-32-614-003-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CHECK OF THE NLG SHOCK ABSORBER CHARGE-PRESSURE,AMM 12-14-32-614-004-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REPLENISH PCU GEARBOX TO CONFIRM FLUID LEVEL,AMM 12-13-27-612-002-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE OIL REPLENISHMENT OF THE SLAT PCU GEARBOX,AMM 12-13-27-612-003-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ANALYZE HYDRAULIC FLUID,AMM 12-32-29-281-001-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,SAMPLE FUEL FOR MICROBIOLOGICAL CONTAMINATION ANALYSIS,AMM 12-32-28-281-003-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TIGHTENING TORQUES FOR PIPES UNIONS,AMM 20-21-12-911-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TIGHTENING TORQUES FOR FLIGHT CONTROL THREADED FASTENERS,AMM 20-21-1-911-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TIGHTENING TORQUES FOR OXYGEN UNIONS,AMM 20-21-14-911-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,TIGHTENING TORQUES FOR ELECTRICAL COMPONENT FASTENERS,AMM 20-21-15-912-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CIRCUIT BREAKERS-MAINTENANCE PRACTICES,AMM 20-16-00-912-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,INSTALLATION AND REPAIR OF HYDRAULIC LINES,AMM 20-23-11-917-002-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,AIRCRAFT WIRING CONTINUITY TESTS,ESPM 20-52-21-760-000-002,I/C
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,REMOVAL/INSTALLATION OF AN O-RING,AMM 20-29-00-911-002-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ULTILIZATION OF SEALANT,SRM 51-24-00 SEALANT TECHNICAL DATA SHEET,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,SEALANT REPAIR,SRM 51-76,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DISCARD FILTER ELEMENTS OF RECIRCULATION SYSTEM,AMM 21-21-41-920-002-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL TEST OF THE CABIN RECIRCULATION FANS,AMM 21-21-00-710-001-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DISCARD LAVATORY AIR EXTRACTION FILTER ELEMENT,AMM 21-23-00-600-001-A,SGH
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE DISCARD FILTER CARTRIDGE,AMM 21-26-43-920-001-A,R/I
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,CONFIGURATION OF THE AVIONICS COMPARTMENT VENTILATION SYSTEM,AMM 21-26-00-860-001-A,M/P
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,DEACTIVATION/REACTIVATION OF THE SKIN EXCHANGER INLET BYPASS VALVE,AMM 21-26-00-040/440-001-A,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE DEACTIVATION/REACTIVATION OF THE SKIN AIR OUTLET VALVE IN THE CLOSED POSITION WITH THE INTERNAL FLAP IN THE OPEN POSITION,AMM 21-26-00-040/440-002-A,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE DEACTIVATION OF THE CONDITIONED-AIR INLET VALVE,AMM 21-26-00-040/440-003-A,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE DEACTIVATION OF THE SKIN AIR INLET VALVE,AMM 21-26-00-040/440-004-A,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,ALTERNATE DEACTIVATION OF THE SKIN-EXCHANGER ISOLATION VALVE,AMM 21-26-00-040/440-016-A,D/R
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF THE AVIONICS EQUIPMENT VENTILATION-SYSTEM,AMM 21-26-00-710-001-A/A01,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF OVERRIDE FUNCTION,AMM 21-26-00-710-002-A,FOT
09-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B1 VJC only.doc,,OPERATIONAL CHECK OF SMOKE CONFIGURATION CONTROL CIRCUIT,AMM 21-26-00-710-003-A,FOT
